Y,x
60.754985517193475,61.81
56.34342659789565,60.7
69.2416831951408,65.96
58.47440047236956,63.3
62.95531916888187,61.3
64.78964976709354,63.24
61.35912876556416,66.8
62.84517632043611,60.44
71.8742312047713,65.16
68.78203774236205,64.72
61.89653107121413,62.59
60.74420147039557,63.52
68.81148227818444,63.52
69.3619902978131,68.28
67.69051752408042,66.56
59.05373927126615,62.56
67.7365721296334,64.67
61.49035461162651,62.84
75.0077741757826,62.67
75.16967983628797,67.56
60.393997702278995,66.12
56.00323359298746,64.96
65.06432159511333,64.0
67.87610470287075,68.72
56.19731734381201,60.3
58.59220427532383,64.59
57.82947486312884,62.36
63.560058822151085,66.78
61.86070230936443,67.68
60.10336996381463,60.32
69.99174135317651,64.72
68.24360206685137,66.96
63.923322772263674,59.84
57.507985685259875,66.24
60.46856131098353,59.96
58.501159971202576,67.3
59.51701917203407,57.74
58.9062837162837,66.2
71.95668703445031,68.04
55.84017042316356,65.19
64.86215519179137,60.04
67.71237516184337,67.16
62.80256155408785,63.0
54.815545427887855,66.44
59.6301670602229,57.74
