Y,x
68.34554410059205,61.75
56.52121637916539,60.25
59.29758802761288,66.6
58.931624180824585,63.58
74.814006142912,61.42
58.91678949794739,63.2
58.404236238845286,67.27
60.625175299490664,59.58
68.49653846081738,65.53
62.07579738700129,65.13
62.3509026362714,62.93
59.666554510019786,62.33
59.72407085858501,62.92
62.90673299877308,69.07
62.50507486250606,67.0
63.66436142949794,62.33
68.20778153740454,64.42
70.33851141805616,61.67
69.690533724395,63.5
74.75989582862702,67.67
60.68339579221183,66.0
64.25561371854195,65.27
60.759448175735706,62.93
69.09939317350825,69.07
56.57420156769815,60.42
70.15972836778124,65.92
58.37732820600308,62.67
75.0502030130263,67.0
63.756849822119264,67.4
58.2924770063683,60.8
70.67584913067812,64.33
68.30609995488153,67.87
64.87320161129237,59.73
59.479136226710494,66.2
60.9359545641179,59.25
59.2219176086864,66.92
59.68554314666238,58.33
57.37049409281664,66.13
65.10131253311789,68.87
61.095906505005885,65.33
70.36089174912284,60.08
62.757677735638474,66.87
66.86390620563668,64.0
57.05010297478375,66.33
61.29581174489672,58.0
