Y,x
61.40669214319681,62.16
57.04956576707425,63.04
57.87569078952386,61.11
58.96158763779117,64.12
62.185302184239106,60.76
60.628416325019636,58.63
62.16231258839521,64.59
61.29976675858549,65.64
64.69231360466556,67.81
68.69222592065283,65.67
61.33011878085872,64.28
56.59955271181043,59.96
62.0145830620392,62.0
64.64895851534419,65.48
67.43368257137757,65.96
61.70734787651723,60.74
59.94206048186198,65.56
59.20400292235731,60.41
67.71437008716008,63.68
74.92735965357848,65.28
70.62202727530203,65.93
62.37429635552216,65.56
60.98703662113781,66.37
65.30906009788316,67.63
55.42823821884694,58.08
59.74062069714942,67.4
56.46290127628872,61.07
61.10532382467395,67.2
61.63091526947642,64.89
60.65469319202553,61.26
58.56785897074877,62.96
62.858750786196936,62.07
61.70369534802149,63.67
56.631548425523626,67.56
59.403537467151345,62.52
58.96385725063097,64.04
59.91554416007083,61.84
59.35788327797335,64.11
62.384332265757365,66.44
61.701635175877755,66.0
63.89172605955805,63.48
61.364643144509294,66.56
61.661987660564385,63.32
57.05778745097061,62.96
59.260464972506355,60.92
