Y,x
60.76953231229949,61.75
56.34116909131175,60.25
58.029502977896655,66.6
58.40472360103242,63.58
62.492638378164976,61.42
58.750346250535166,63.2
61.235667095482576,67.27
59.392024687338875,59.58
60.75678097591143,65.53
60.15283494750741,65.13
61.998235934635176,62.93
60.793629260539284,62.33
59.99948370504136,62.92
62.493153592002564,69.07
60.24524367157882,67.0
59.096309063818246,62.33
56.47389795236179,64.42
61.42008356974127,61.67
75.2213914437908,63.5
61.947998471167736,67.67
61.0826459932775,66.0
62.24180706034777,65.27
58.87566763648627,62.93
61.69889942365513,69.07
56.20073108082347,60.42
58.74369001188149,65.92
57.653162479772625,62.67
62.75605617680406,67.0
61.419307966423546,67.4
58.14733128884014,60.8
59.194829413082545,64.33
61.61630725262068,67.87
63.38169810875797,59.73
57.154452442706486,66.2
60.60865237430614,59.25
56.24045452958587,66.92
59.65055210208955,58.33
58.59711608626918,66.13
62.087734592401546,68.87
54.6964098461876,65.33
63.07764582843935,60.08
60.59936971227184,66.87
62.55686364225318,64.0
54.88280744355205,66.33
59.74848332260136,58.0
