Y,x
57.947356084783024,61.75
56.54541102324037,60.25
60.01492523306482,66.6
59.602910313556094,63.58
61.673138755319535,61.42
59.16386072653367,63.2
58.2404225477124,67.27
59.555878062790825,59.58
64.69029487744828,65.53
69.51187241014621,65.13
60.587966264107024,62.93
59.833243005789726,62.33
59.51453453491403,62.92
69.39784795301763,69.07
61.665847636155405,67.0
55.731529129633046,62.33
57.043901266542434,64.42
56.129223549146566,61.67
64.9653161979961,63.5
62.90031216401605,67.67
60.58891834315122,66.0
56.37615373583191,65.27
59.370637599214824,62.93
65.51761835194033,69.07
57.42840412760392,60.42
58.501048692406385,65.92
58.950135300996244,62.67
59.61075460124936,67.0
58.61474273130264,67.4
59.90062779159069,60.8
60.539434597582385,64.33
61.88295537384167,67.87
58.71175931715393,59.73
57.73260187146589,66.2
61.86808158051118,59.25
58.604420035995645,66.92
61.06502514795027,58.33
57.400330174325184,66.13
69.30076549673933,68.87
55.84557314636756,65.33
64.43205062262308,60.08
61.41107582948611,66.87
56.8220460892993,64.0
56.11995148918309,66.33
60.62351836601033,58.0
